dataset,method,dim,n_index,n_queries,k_ground_truth,hnsw_M,hnsw_ef_construction,hnsw_ef_search,build_time_s,index_file_bytes,memory_rss_after_build_mb,ivf_nlist,ivf_nprobe,nsg_search_L,nsg_GK,tuning_name,tuning_value,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_qps,recall@1,recall@5,recall@10,recall@20,recall@50,recall@100,mrr,extra_rss_delta_vs_before_build_mb,extra_query_batch_size,extra_note
QQP,HNSW (hnswlib),768,8500,1500,100,16,200,16,9.457927750016097,27377576,759.734375,,,,,ef_search,16,0.6274308634456247,0.018551447948755257,0.6312747500487603,0.653561219223775,0.661450530969887,1593.8010994683295,1.0,0.9993333333333333,0.9986666666666667,0.9978,0.9914266666666667,0.9740933333333334,1.0,18.5625,32,HNSW graph index results.
QQP,HNSW (hnswlib),768,8500,1500,100,16,200,32,8.779346666007768,27377576,759.84375,,,,,ef_search,32,0.6083882746364301,0.022255532131230965,0.6084323122195201,0.6512226555059897,0.6616119699174305,1643.6871677015722,1.0,0.9993333333333333,0.9986666666666667,0.9978,0.9914266666666667,0.9740933333333334,1.0,-0.140625,32,HNSW graph index results.
QQP,HNSW (hnswlib),768,8500,1500,100,16,200,64,8.674363875004929,27377576,759.84375,,,,,ef_search,64,0.5989841919702789,0.028880710899712784,0.6014609371050028,0.6387942503351951,0.650247406156268,1669.4931408968123,1.0,0.9993333333333333,0.9986666666666667,0.9978,0.9914266666666667,0.9740933333333334,1.0,0.0,32,HNSW graph index results.
QQP,HNSW (hnswlib),768,8500,1500,100,16,200,128,8.60674812499201,27377576,726.375,,,,,ef_search,128,0.7240030827233568,0.030959069272868223,0.729569032046129,0.7698476565565215,0.7891862187534571,1381.2095885537856,1.0,0.9997333333333334,0.9992,0.9988666666666667,0.9955066666666667,0.9851266666666667,1.0,-33.46875,32,HNSW graph index results.
QQP,HNSW (hnswlib),768,8500,1500,100,16,200,256,8.613110250036698,27377576,701.21875,,,,,ef_search,256,1.1915263305030142,0.05181190843842833,1.1988645946985343,1.2647460935113486,1.283595031054574,839.2596742514623,1.0,1.0,0.9999333333333333,0.9999,0.9992666666666666,0.9977066666666666,1.0,-25.15625,32,HNSW graph index results.
QQP,IVF (FAISS IndexIVFFlat),768,8500,1500,100,0,0,0,0.040845457988325506,26463499,715.109375,92,1,,,nprobe,1,0.010026837466284633,0.004227931451256382,0.009290375601267442,0.010398436643299647,0.03844531238428317,99732.34365895654,0.552,0.5024,0.46646666666666664,0.4256666666666667,0.35041333333333335,0.27968666666666664,0.552,13.828125,32,IVF index results.
QQP,IVF (FAISS IndexIVFFlat),768,8500,1500,100,0,0,0,0.040845457988325506,26463499,715.109375,92,2,,,nprobe,2,0.016589167915905517,0.0015871638581313966,0.016598938600509427,0.018372405975242145,0.02372393646510318,60280.298871482926,0.6973333333333334,0.6448,0.6130666666666666,0.5738,0.49828,0.41966,0.6973333333333334,13.828125,32,IVF index results.
QQP,IVF (FAISS IndexIVFFlat),768,8500,1500,100,0,0,0,0.040845457988325506,26463499,715.109375,92,4,,,nprobe,4,0.027638943555454414,0.0021357173677441564,0.02697265699680429,0.032213531085290015,0.03340756302350201,36180.832961057764,0.8246666666666667,0.7778666666666667,0.7467333333333334,0.7129666666666666,0.6438133333333333,0.5692333333333334,0.8246666666666667,13.828125,32,IVF index results.
QQP,IVF (FAISS IndexIVFFlat),768,8500,1500,100,0,0,0,0.040845457988325506,26463499,715.109375,92,8,,,nprobe,8,0.05294708407018334,0.0031633970412424054,0.053214844228932634,0.05726040581066627,0.058203124353894964,18886.781350875954,0.9006666666666666,0.8690666666666667,0.8449333333333333,0.8195,0.76664,0.7062266666666667,0.9006666666666666,13.828125,32,IVF index results.
QQP,IVF (FAISS IndexIVFFlat),768,8500,1500,100,0,0,0,0.040845457988325506,26463499,715.109375,92,16,,,nprobe,16,0.09203027786376576,0.005783288405371512,0.09097656220546924,0.10276953071297612,0.11317837561364286,10865.989141968254,0.9593333333333334,0.9373333333333334,0.9212,0.9039666666666667,0.8696,0.8275333333333333,0.9593333333333334,13.828125,32,IVF index results.
